,ua,insc,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres
34,FCEQN,FCEQN-3760,1.0,No,2.0,3,1.0
35,FCEQN,FCEQN-3034,1.0,NC,-1.0,-1,-1.0
36,FCEQN,1764,1.0,NC,-1.0,-1,-1.0
37,FCEQN,FCEQN-2296,1.0,NC,-1.0,-1,-1.0
38,FCEQN,FCEQN-1165,1.0,NC,-1.0,-1,-1.0
39,FCEQN,459,1.0,NC,-1.0,-1,-1.0
40,FCEQN,FCEQN-2462,1.0,NC,-1.0,-1,-1.0
41,FCEQN,1024,1.0,NC,-1.0,-1,-1.0
42,FCEQN,FCEQN-2914,1.0,NC,-1.0,-1,-1.0
43,FCEQN,FCEQN-3162,1.0,NC,-1.0,-1,-1.0
44,FCEQN,1439,1.0,NC,-1.0,-1,-1.0
45,FCEQN,FCEQN-2505,1.0,NC,-1.0,-1,-1.0
46,FCEQN,FCEQN-778,1.0,NC,-1.0,-1,-1.0
47,FCEQN,FCEQN-1168,1.0,NC,-1.0,-1,-1.0
48,FCEQN,1488,1.0,NC,-1.0,-1,-1.0
49,FCEQN,FCEQN-4269,1.0,NC,-1.0,-1,-1.0
50,FCEQN,FCEQN-4460,1.0,No,1.0,3,7.0
51,FCEQN,FCEQN-4497,1.0,NC,-1.0,-1,-1.0
52,FCEQN,FCEQN-4512,1.0,No,1.0,3,7.0
53,FCEQN,FCEQN-3460,1.0,No,1.0,3,5.0
54,FCEQN,FCEQN-1351,1.0,NC,1.0,-1,-1.0
55,FCEQN,FCEQN-3534,1.0,No,1.0,1,6.0
56,FCEQN,FCEQN-3503,1.0,No,2.0,4,7.0
57,FCEQN,FCEQN-1181,1.0,NC,2.0,-1,-1.0
58,FCEQN,FCEQN-4593,1.0,NC,-1.0,-1,-1.0
59,FCEQN,840,1.0,No,1.0,4,4.0
60,FCEQN,FCEQN-604,1.0,NC,1.0,-1,-1.0
61,FCEQN,FCEQN-3459,1.0,No,1.0,1,7.0
62,FCEQN,FCEQN-2395,1.0,NC,1.0,-1,-1.0
63,FCEQN,FCEQN-3406,1.0,No,1.0,3,5.0
64,FCEQN,5200,1.0,NC,-1.0,1,2.0
65,FCEQN,FCEQN-4595,1.0,Si,1.0,1,5.0
66,FCEQN,1451,1.0,NC,1.0,-1,-1.0
67,FCEQN,FCEQN-2313,1.0,NC,-1.0,-1,-1.0
68,FCEQN,FCEQN-1549,1.0,NC,1.0,-1,-1.0
69,FCEQN,FCEQN-1213,1.0,NC,1.0,-1,-1.0
70,FCEQN,FCEQN-1665,1.0,NC,2.0,-1,-1.0
71,FCEQN,6697,1.0,NC,-1.0,-1,-1.0
72,FCEQN,FCEQN-2318,1.0,NC,1.0,-1,-1.0
73,FCEQN,5060,1.0,NC,1.0,-1,-1.0
74,FCEQN,FCEQN-337,1.0,NC,-1.0,-1,-1.0
75,FCEQN,FCEQN-1992,1.0,NC,1.0,-1,-1.0
76,FCEQN,FCEQN-2334,1.0,No,2.0,3,3.0
77,FCEQN,FCEQN-4242,1.0,Si,1.0,5,3.0
78,FCEQN,FCEQN-4303,1.0,No,2.0,1,5.0
79,FCEQN,FCEQN-826,1.0,NC,-1.0,-1,-1.0
80,FCEQN,FCEQN-2439,1.0,No,1.0,1,5.0
81,FCEQN,FCEQN-4506,1.0,Si,1.0,1,4.0
82,FCEQN,FCEQN-4656,1.0,Si,1.0,5,5.0
83,FCEQN,FCEQN-4690,1.0,Si,1.0,5,3.0
84,FCEQN,FCEQN-3438,1.0,No,1.0,1,5.0
85,FCEQN,FCEQN-4463,1.0,No,1.0,3,5.0
86,FCEQN,350,2.0,1,1.0,4,5.0
87,FCEQN,FCEQN-4749,1.0,No,1.0,3,5.0
88,FCEQN,FCEQN-4751,1.0,NC,-1.0,-1,-1.0
89,FCEQN,5130,1.0,No,1.0,1,3.0
90,FCEQN,1701,2.0,NC,1.0,-1,-1.0
91,FCEQN,FCEQN-4802,1.0,No,1.0,3,3.0
92,FCEQN,FCEQN-4889,1.0,NC,-1.0,-1,-1.0
93,FCEQN,FCEQN-4904,1.0,NC,-1.0,-1,-1.0
94,FCEQN,FCEQN-4958,1.0,No,2.0,3,3.0
95,FCEQN,FCEQN-5001,1.0,No,1.0,1,5.0
96,FCEQN,FCEQN-4711,1.0,No,2.0,4,3.0
97,FCEQN,FCEQN-5058,1.0,No,1.0,3,5.0
98,FCEQN,1736,2.0,No,1.0,1,6.0
99,FCEQN,3428,1.0,1,3.0,1,5.0
100,FCEQN,2920,2.0,NC,-1.0,-1,-1.0
101,FCEQN,3260,1.0,NC,1.0,-1,-1.0
102,FCEQN,FCEQN-600,1.0,No,4.0,3,7.0
103,FCEQN,FCEQN-1777,1.0,NC,1.0,-1,-1.0
104,FCEQN,FCEQN-2931,1.0,NC,1.0,-1,-1.0
105,FCEQN,FCEQN-2411,1.0,NC,1.0,-1,-1.0
106,FCEQN,FCEQN-2615,1.0,NC,2.0,-1,-1.0
107,FCEQN,FCEQN-1647,1.0,NC,1.0,-1,-1.0
108,FCEQN,FCEQN-4835,1.0,No,2.0,3,5.0
109,FCEQN,FCEQN-1963,1.0,NC,1.0,-1,-1.0
110,FCEQN,FCEQN-1829,1.0,NC,2.0,-1,-1.0
111,FCEQN,FCEQN-1758,1.0,NC,1.0,-1,-1.0
112,FCEQN,FCEQN-3467,1.0,NC,2.0,-1,-1.0
113,FCEQN,FCEQN-4157,1.0,Si,1.0,5,7.0
114,FCEQN,FCEQN-4204,1.0,1,2.0,5,7.0
115,FCEQN,FCEQN-3511,1.0,No,2.0,3,3.0
116,FCEQN,FCEQN-3648,1.0,NC,1.0,-1,-1.0
117,FCEQN,FCEQN-4402,1.0,No,2.0,4,5.0
118,FCEQN,FCEQN-2623,1.0,NC,1.0,-1,-1.0
119,FCEQN,FCEQN-4582,1.0,Si,1.0,4,3.0
120,FCEQN,FCEQN-3404,1.0,No,1.0,3,5.0
121,FCEQN,FCEQN-1605,1.0,NC,2.0,-1,-1.0
122,FCEQN,FCEQN-4284,1.0,No,1.0,4,3.0
123,FCEQN,FCEQN-4906,1.0,No,1.0,1,7.0
124,FCEQN,FCEQN-3777,1.0,NC,1.0,-1,-1.0
125,FCEQN,FCEQN-4392,1.0,No,1.0,1,5.0
126,FCEQN,FCEQN-4916,1.0,Si,3.0,3,3.0
127,FCEQN,FCEQN-1236,1.0,NC,1.0,-1,-1.0
128,FCEQN,FCEQN-5105,1.0,NC,1.0,1,3.0
129,FCEQN,FCEQN-5107,1.0,NC,1.0,3,3.0
130,FCEQN,FCEQN-5110,1.0,NC,-1.0,-1,-1.0
131,FCEQN,FCEQN-5116,1.0,NC,1.0,-1,-1.0
132,FCEQN,FCEQN-5121,1.0,NC,2.0,-1,3.0
133,FCEQN,FCEQN-5124,1.0,NC,2.0,1,5.0
134,FCEQN,FCEQN-5126,1.0,NC,2.0,-1,-1.0
135,FCEQN,FCEQN-5127,1.0,NC,-1.0,-1,-1.0
136,FCEQN,FCEQN-5128,1.0,NC,2.0,3,3.0
137,FCEQN,FCEQN-5133,1.0,NC,-1.0,-1,-1.0
138,FCEQN,FCEQN-5134,1.0,NC,-1.0,-1,-1.0
139,FCEQN,FCEQN-4194,1.0,No,1.0,3,7.0
140,FCEQN,FCEQN-5136,1.0,NC,1.0,-1,-1.0
141,FCEQN,FCEQN-5139,1.0,NC,-1.0,-1,-1.0
142,FCEQN,FCEQN-5140,1.0,NC,-1.0,-1,-1.0
143,FCEQN,FCEQN-5141,1.0,NC,-1.0,-1,-1.0
144,FCEQN,FCEQN-5143,1.0,NC,-1.0,-1,-1.0
145,FCEQN,FCEQN-5145,1.0,NC,1.0,3,5.0
146,FCEQN,FCEQN-5148,1.0,NC,-1.0,-1,-1.0
147,FCEQN,FCEQN-5149,1.0,NC,-1.0,-1,-1.0
148,FCEQN,FCEQN-5151,1.0,NC,-1.0,-1,-1.0
149,FCEQN,FCEQN-5155,1.0,NC,-1.0,-1,-1.0
150,FCEQN,FCEQN-5158,1.0,NC,1.0,-1,-1.0
151,FCEQN,FCEQN-5160,1.0,NC,-1.0,-1,-1.0
152,FCEQN,FCEQN-5162,1.0,NC,-1.0,-1,-1.0
153,FCEQN,FCEQN-5163,1.0,NC,2.0,1,5.0
154,FCEQN,FCEQN-5164,1.0,NC,-1.0,-1,-1.0
155,FCEQN,FCEQN-5165,1.0,NC,-1.0,-1,-1.0
156,FCEQN,FCEQN-5166,1.0,NC,-1.0,-1,-1.0
157,FCEQN,FCEQN-5168,1.0,NC,-1.0,-1,-1.0
158,FCEQN,FCEQN-5170,1.0,NC,-1.0,3,2.0
159,FCEQN,FCEQN-5174,1.0,NC,-1.0,1,5.0
160,FCEQN,FCEQN-5177,1.0,NC,-1.0,-1,-1.0
161,FCEQN,FCEQN-5180,1.0,NC,-1.0,-1,-1.0
162,FCEQN,FCEQN-5181,1.0,NC,-1.0,1,3.0
163,FCEQN,FCEQN-5184,1.0,NC,1.0,1,5.0
164,FCEQN,FCEQN-5187,1.0,NC,2.0,3,5.0
165,FCEQN,FCEQN-5191,1.0,NC,-1.0,-1,-1.0
166,FCEQN,FCEQN-5192,1.0,NC,2.0,3,3.0
167,FCEQN,FCEQN-5196,1.0,NC,-1.0,-1,-1.0
168,FCEQN,FCEQN-5197,1.0,NC,1.0,-1,-1.0
169,FCEQN,FCEQN-5201,1.0,NC,1.0,3,5.0
170,FCEQN,FCEQN-5203,1.0,NC,2.0,1,7.0
171,FCEQN,FCEQN-5202,1.0,NC,-1.0,-1,-1.0
172,FCEQN,FCEQN-5206,1.0,NC,-1.0,-1,-1.0
173,FCEQN,FCEQN-5207,1.0,NC,1.0,-1,-1.0
174,FCEQN,FCEQN-5208,1.0,NC,-1.0,-1,-1.0
175,FCEQN,FCEQN-5209,1.0,NC,-1.0,1,5.0
176,FCEQN,FCEQN-5211,1.0,NC,-1.0,-1,-1.0
177,FCEQN,FCEQN-5214,1.0,NC,1.0,1,5.0
178,FCEQN,FCEQN-5218,1.0,NC,-1.0,-1,-1.0
179,FCEQN,FCEQN-5221,1.0,NC,-1.0,3,5.0
180,FCEQN,FCEQN-5223,1.0,NC,-1.0,-1,-1.0
181,FCEQN,FCEQN-5225,1.0,NC,-1.0,1,5.0
182,FCEQN,FCEQN-5236,1.0,NC,1.0,1,3.0
183,FCEQN,FCEQN-5237,1.0,NC,-1.0,-1,-1.0
184,FCEQN,FCEQN-5239,1.0,NC,1.0,1,5.0
185,FCEQN,FCEQN-5240,1.0,NC,-1.0,-1,-1.0
186,FCEQN,FCEQN-5242,1.0,NC,1.0,1,5.0
187,FCEQN,FCEQN-5246,1.0,NC,-1.0,-1,-1.0
188,FCEQN,FCEQN-5247,1.0,NC,-1.0,-1,-1.0
189,FCEQN,FCEQN-5253,1.0,NC,-1.0,-1,-1.0
190,FCEQN,FCEQN-5254,1.0,NC,-1.0,3,5.0
191,FCEQN,FCEQN-5258,1.0,NC,2.0,1,3.0
192,FCEQN,FCEQN-5260,2.0,NC,1.0,3,3.0
193,FCEQN,FCEQN-5265,1.0,NC,-1.0,1,5.0
194,FCEQN,FCEQN-5267,1.0,NC,-1.0,3,3.0
195,FCEQN,FCEQN-5270,1.0,NC,-1.0,-1,-1.0
196,FCEQN,FCEQN-5271,1.0,NC,-1.0,3,5.0
197,FCEQN,FCEQN-5274,1.0,NC,2.0,5,1.0
198,FCEQN,FCEQN-5275,1.0,NC,-1.0,-1,-1.0
199,FCEQN,FCEQN-5276,1.0,NC,-1.0,-1,-1.0
200,FCEQN,FCEQN-5281,1.0,NC,-1.0,1,5.0
201,FCEQN,FCEQN-5283,1.0,NC,1.0,3,5.0
202,FCEQN,FCEQN-5285,1.0,NC,1.0,1,7.0
203,FCEQN,FCEQN-5286,1.0,NC,-1.0,3,5.0
204,FCEQN,FCEQN-5288,1.0,NC,-1.0,-1,-1.0
205,FCEQN,FCEQN-5289,1.0,NC,-1.0,-1,-1.0
206,FCEQN,FCEQN-5291,1.0,NC,1.0,-1,-1.0
207,FCEQN,FCEQN-5294,1.0,NC,-1.0,-1,-1.0
208,FCEQN,FCEQN-5296,1.0,NC,-1.0,1,5.0
209,FCEQN,FCEQN-5298,1.0,NC,1.0,3,5.0
210,FCEQN,FCEQN-5300,1.0,NC,1.0,3,7.0
211,FCEQN,FCEQN-5301,1.0,NC,1.0,1,5.0
212,FCEQN,FCEQN-5302,1.0,NC,-1.0,-1,-1.0
213,FCEQN,FCEQN-5303,1.0,NC,-1.0,-1,-1.0
214,FCEQN,FCEQN-5304,1.0,NC,1.0,-1,-1.0
215,FCEQN,FCEQN-5305,1.0,NC,-1.0,-1,-1.0
216,FCEQN,FCEQN-5307,1.0,NC,-1.0,-1,-1.0
217,FCEQN,FCEQN-5306,1.0,NC,-1.0,-1,-1.0
218,FCEQN,FCEQN-5309,1.0,NC,-1.0,-1,-1.0
219,FCEQN,FCEQN-5310,2.0,NC,1.0,-1,-1.0
220,FCEQN,FCEQN-5311,1.0,NC,-1.0,-1,-1.0
221,FCEQN,FCEQN-5313,1.0,NC,1.0,3,3.0
222,FCEQN,FCEQN-5314,1.0,NC,-1.0,-1,-1.0
223,FCEQN,FCEQN-5315,1.0,NC,1.0,3,5.0
224,FCEQN,FCEQN-5316,1.0,NC,-1.0,-1,-1.0
225,FCEQN,FCEQN-5320,1.0,NC,-1.0,-1,-1.0
226,FCEQN,FCEQN-5323,1.0,NC,-1.0,-1,-1.0
227,FCEQN,FCEQN-5322,1.0,NC,-1.0,-1,-1.0
228,FCEQN,FCEQN-5327,1.0,NC,-1.0,-1,-1.0
229,FCEQN,FCEQN-5329,1.0,NC,-1.0,-1,-1.0
230,FCEQN,FCEQN-5331,1.0,NC,-1.0,-1,-1.0
231,FCEQN,FCEQN-5332,1.0,NC,-1.0,1,7.0
232,FCEQN,FCEQN-5335,1.0,NC,-1.0,1,7.0
233,FCEQN,FCEQN-5337,1.0,NC,-1.0,1,3.0
234,FCEQN,FCEQN-5338,1.0,NC,2.0,1,7.0
235,FCEQN,FCEQN-5341,1.0,NC,1.0,3,5.0
236,FCEQN,FCEQN-5344,1.0,NC,1.0,3,3.0
237,FCEQN,FCEQN-5346,1.0,NC,-1.0,1,5.0
238,FCEQN,FCEQN-5347,1.0,NC,-1.0,-1,-1.0
239,FCEQN,FCEQN-5348,1.0,NC,-1.0,-1,-1.0
240,FCEQN,FCEQN-5350,1.0,NC,-1.0,-1,-1.0
241,FCEQN,FCEQN-5351,1.0,NC,-1.0,3,3.0
242,FCEQN,FCEQN-5356,1.0,NC,-1.0,3,6.0
243,FCEQN,FCEQN-5358,1.0,NC,-1.0,-1,-1.0
244,FCEQN,FCEQN-5359,1.0,NC,-1.0,-1,-1.0
245,FCEQN,FCEQN-5360,1.0,NC,-1.0,1,7.0
246,FCEQN,FCEQN-5362,1.0,NC,-1.0,-1,-1.0
247,FCEQN,FCEQN-5363,1.0,NC,1.0,1,5.0
248,FCEQN,FCEQN-5364,1.0,NC,1.0,-1,-1.0
249,FCEQN,FCEQN-5366,1.0,NC,-1.0,-1,-1.0
250,FCEQN,FCEQN-5367,1.0,NC,-1.0,-1,-1.0
251,FCEQN,FCEQN-5368,1.0,NC,-1.0,-1,-1.0
252,FCEQN,FCEQN-5369,1.0,NC,-1.0,-1,-1.0
253,FCEQN,FCEQN-5370,1.0,NC,-1.0,-1,-1.0
254,FCEQN,FCEQN-5371,1.0,NC,-1.0,-1,-1.0
255,FCEQN,FCEQN-5372,1.0,NC,-1.0,-1,-1.0
256,FCEQN,FCEQN-5373,1.0,NC,-1.0,-1,-1.0
257,FCEQN,FCEQN-5374,1.0,NC,-1.0,-1,-1.0
258,FCEQN,FCEQN-5375,1.0,NC,-1.0,-1,-1.0
259,FCEQN,FCEQN-5376,1.0,NC,-1.0,-1,-1.0
260,FCEQN,FCEQN-5377,1.0,NC,-1.0,-1,-1.0
261,FCEQN,FCEQN-5378,1.0,NC,-1.0,-1,-1.0
262,FCEQN,FCEQN-5379,1.0,NC,-1.0,-1,-1.0
263,FCEQN,FCEQN-5382,1.0,NC,-1.0,-1,-1.0
264,FCEQN,FCEQN-5383,1.0,NC,-1.0,-1,-1.0
265,FCEQN,FCEQN-5386,1.0,NC,-1.0,-1,-1.0
266,FCEQN,FCEQN-5387,1.0,NC,-1.0,-1,-1.0
267,FCEQN,FCEQN-5389,1.0,NC,-1.0,-1,-1.0
268,FCEQN,FCEQN-5393,1.0,NC,1.0,3,3.0
269,FCEQN,FCEQN-5395,2.0,NC,-1.0,3,3.0
270,FCEQN,FCEQN-5399,1.0,NC,-1.0,-1,-1.0
271,FCEQN,FCEQN-5400,1.0,NC,-1.0,-1,-1.0
272,FCEQN,FCEQN-5401,1.0,NC,1.0,3,3.0
273,FCEQN,FCEQN-5403,1.0,NC,-1.0,-1,-1.0
274,FCEQN,FCEQN-5407,1.0,NC,1.0,3,7.0
275,FCEQN,FCEQN-5410,1.0,NC,1.0,1,6.0
276,FCEQN,FCEQN-5412,1.0,NC,-1.0,-1,-1.0
277,FCEQN,FCEQN-5414,1.0,NC,-1.0,-1,-1.0
278,FCEQN,FCEQN-5415,1.0,NC,-1.0,-1,-1.0
279,FCEQN,FCEQN-5419,1.0,NC,-1.0,-1,-1.0
280,FCEQN,FCEQN-5420,1.0,NC,-1.0,-1,-1.0
281,FCEQN,FCEQN-5423,1.0,NC,-1.0,-1,-1.0
282,FCEQN,FCEQN-5424,1.0,NC,-1.0,-1,-1.0
283,FCEQN,FCEQN-5425,1.0,NC,-1.0,3,3.0
284,FCEQN,FCEQN-5426,1.0,NC,-1.0,-1,-1.0
285,FCEQN,FCEQN-5434,1.0,NC,-1.0,-1,-1.0
286,FCEQN,FCEQN-5437,1.0,NC,-1.0,-1,-1.0
287,FCEQN,FCEQN-5438,1.0,NC,1.0,-1,-1.0
288,FCEQN,FCEQN-5441,1.0,S,2.0,-1,4.0
289,FCEQN,FCEQN-5442,1.0,NC,-1.0,3,3.0
290,FCEQN,FCEQN-5443,1.0,NC,-1.0,-1,-1.0
291,FCEQN,FCEQN-5445,1.0,NC,-1.0,-1,-1.0
292,FCEQN,FCEQN-5447,1.0,NC,-1.0,-1,-1.0
293,FCEQN,FCEQN-5449,1.0,NC,-1.0,-1,-1.0
294,FCEQN,FCEQN-5458,1.0,NC,-1.0,-1,-1.0
295,FCEQN,FCEQN-5461,1.0,NC,2.0,3,4.0
296,FCEQN,FCEQN-5464,1.0,NC,-1.0,-1,-1.0
297,FCEQN,FCEQN-5468,1.0,NC,-1.0,-1,-1.0
298,FCEQN,FCEQN-5469,1.0,NC,2.0,3,4.0
299,FCEQN,FCEQN-5470,1.0,NC,1.0,1,3.0
300,FCEQN,FCEQN-5471,1.0,NC,1.0,3,5.0
301,FCEQN,FCEQN-5473,1.0,NC,-1.0,-1,-1.0
302,FCEQN,FCEQN-5475,1.0,NC,-1.0,-1,-1.0
303,FCEQN,FCEQN-5477,1.0,NC,1.0,3,3.0
304,FCEQN,FCEQN-5478,1.0,NC,-1.0,-1,-1.0
305,FCEQN,FCEQN-5479,1.0,NC,2.0,3,5.0
306,FCEQN,FCEQN-5481,1.0,NC,1.0,1,5.0
307,FCEQN,FCEQN-5484,1.0,NC,1.0,3,3.0
308,FCEQN,FCEQN-5488,1.0,NC,-1.0,-1,-1.0
309,FCEQN,FCEQN-5491,1.0,NC,1.0,3,5.0
310,FCEQN,FCEQN-5492,1.0,NC,-1.0,-1,-1.0
311,FCEQN,FCEQN-5493,1.0,NC,-1.0,-1,-1.0
312,FCEQN,FCEQN-5496,1.0,NC,-1.0,-1,-1.0
313,FCEQN,FCEQN-5497,1.0,NC,-1.0,-1,-1.0
314,FCEQN,FCEQN-5499,1.0,NC,-1.0,-1,-1.0
315,FCEQN,FCEQN-5500,1.0,NC,1.0,3,5.0
316,FCEQN,FCEQN-5502,1.0,NC,2.0,1,7.0
317,FCEQN,FCEQN-5503,1.0,NC,1.0,3,3.0
318,FCEQN,FCEQN-5507,1.0,NC,-1.0,-1,-1.0
319,FCEQN,FCEQN-5508,1.0,NC,-1.0,-1,-1.0
320,FCEQN,FCEQN-5510,1.0,NC,1.0,-1,-1.0
321,FCEQN,FCEQN-5511,1.0,NC,-1.0,-1,-1.0
322,FCEQN,FCEQN-5512,1.0,NC,-1.0,-1,-1.0
323,FCEQN,FCEQN-5515,1.0,NC,1.0,3,7.0
324,FCEQN,FCEQN-5516,1.0,NC,-1.0,-1,-1.0
325,FCEQN,FCEQN-5520,1.0,NC,-1.0,-1,-1.0
326,FCEQN,FCEQN-5522,1.0,NC,1.0,3,3.0
327,FCEQN,FCEQN-5523,1.0,NC,-1.0,-1,-1.0
328,FCEQN,FCEQN-5524,1.0,NC,-1.0,-1,-1.0
329,FCEQN,FCEQN-5526,1.0,NC,-1.0,-1,-1.0
330,FCEQN,FCEQN-5527,1.0,NC,1.0,3,4.0
331,FCEQN,FCEQN-5528,1.0,NC,1.0,3,3.0
332,FCEQN,FCEQN-5529,1.0,NC,1.0,3,5.0
333,FCEQN,FCEQN-5530,1.0,NC,-1.0,-1,-1.0
334,FCEQN,FCEQN-5532,1.0,NC,-1.0,-1,-1.0
335,FCEQN,FCEQN-5534,1.0,NC,2.0,1,5.0
336,FCEQN,FCEQN-5535,1.0,NC,-1.0,-1,-1.0
337,FCEQN,FCEQN-5538,1.0,NC,-1.0,-1,-1.0
338,FCEQN,FCEQN-5539,1.0,NC,1.0,3,5.0
339,FCEQN,FCEQN-5541,1.0,NC,-1.0,3,5.0
340,FCEQN,FCEQN-5542,1.0,NC,-1.0,-1,-1.0
341,FCEQN,FCEQN-5543,1.0,NC,-1.0,-1,-1.0
342,FCEQN,FCEQN-5544,1.0,NC,-1.0,-1,-1.0
343,FCEQN,FCEQN-5545,1.0,NC,-1.0,-1,-1.0
344,FCEQN,FCEQN-5117,1.0,NC,1.0,-1,-1.0
345,FCEQN,FCEQN-5212,1.0,NC,-1.0,3,5.0
346,FCEQN,FCEQN-5217,1.0,NC,1.0,3,7.0
347,FCEQN,FCEQN-5226,1.0,NC,1.0,4,3.0
348,FCEQN,FCEQN-5548,1.0,NC,1.0,3,5.0
349,FCEQN,FCEQN-5552,1.0,NC,-1.0,-1,-1.0
350,FCEQN,FCEQN-5553,1.0,NC,-1.0,3,5.0
351,FCEQN,FCEQN-5554,1.0,NC,1.0,1,7.0
352,FCEQN,FCEQN-5556,1.0,NC,2.0,3,7.0
353,FCEQN,FCEQN-5557,1.0,NC,-1.0,-1,-1.0
354,FCEQN,FCEQN-5558,1.0,NC,1.0,1,5.0
355,FCEQN,FCEQN-5560,1.0,NC,-1.0,-1,-1.0
356,FCEQN,FCEQN-5562,1.0,NC,-1.0,-1,-1.0
357,FCEQN,FCEQN-5563,1.0,NC,1.0,3,3.0
358,FCEQN,FCEQN-5569,1.0,NC,-1.0,-1,-1.0
359,FCEQN,FCEQN-5573,1.0,NC,1.0,-1,-1.0
360,FCEQN,FCEQN-5574,1.0,NC,1.0,-1,-1.0
361,FCEQN,FCEQN-5575,1.0,NC,-1.0,-1,-1.0
362,FCEQN,FCEQN-5576,1.0,NC,1.0,-1,-1.0
363,FCEQN,FCEQN-5577,1.0,NC,-1.0,-1,-1.0
364,FCEQN,FCEQN-5578,1.0,NC,1.0,-1,-1.0
365,FCEQN,FCEQN-5579,1.0,NC,-1.0,-1,-1.0
366,FCEQN,FCEQN-5580,1.0,NC,1.0,3,5.0
367,FCEQN,FCEQN-5581,1.0,NC,-1.0,-1,-1.0
368,FCEQN,FCEQN-5582,1.0,NC,1.0,-1,-1.0
369,FCEQN,FCEQN-5583,1.0,NC,-1.0,-1,-1.0
370,FCEQN,FCEQN-5584,1.0,NC,-1.0,-1,-1.0
371,FCEQN,FCEQN-5585,1.0,NC,-1.0,-1,-1.0
372,FCEQN,FCEQN-5586,1.0,NC,1.0,-1,-1.0
373,FCEQN,FCEQN-5587,1.0,NC,1.0,-1,-1.0
374,FCEQN,FCEQN-5588,1.0,NC,-1.0,-1,-1.0
375,FCEQN,FCEQN-5589,1.0,NC,-1.0,3,5.0
376,FCEQN,FCEQN-5594,1.0,NC,-1.0,-1,-1.0
377,FCEQN,FCEQN-5597,1.0,NC,2.0,1,5.0
378,FCEQN,FCEQN-5599,1.0,NC,1.0,1,5.0
379,FCEQN,FCEQN-5600,1.0,NC,-1.0,-1,-1.0
380,FCEQN,FCEQN-5601,1.0,NC,-1.0,-1,-1.0
381,FCEQN,FCEQN-5602,1.0,NC,-1.0,3,5.0
382,FCEQN,FCEQN-5604,1.0,NC,-1.0,-1,-1.0
383,FCEQN,FCEQN-5605,1.0,NC,-1.0,-1,-1.0
384,FCEQN,FCEQN-5607,1.0,NC,1.0,-1,-1.0
385,FCEQN,FCEQN-5610,1.0,NC,-1.0,-1,-1.0
386,FCEQN,FCEQN-5611,1.0,NC,-1.0,-1,-1.0
387,FCEQN,FCEQN-5612,1.0,NC,1.0,1,5.0
388,FCEQN,FCEQN-5615,1.0,NC,-1.0,1,5.0
389,FCEQN,FCEQN-5617,1.0,NC,-1.0,-1,-1.0
390,FCEQN,FCEQN-5618,1.0,NC,-1.0,3,5.0
391,FCEQN,FCEQN-5619,1.0,NC,-1.0,-1,-1.0
392,FCEQN,FCEQN-5621,1.0,NC,-1.0,-1,-1.0
393,FCEQN,FCEQN-5624,1.0,NC,-1.0,-1,-1.0
